model,MAE,RMSE,MAPE_pct,mean_bias,origins
Moving average (30d),942.6542684941118,1162.6169561996417,8.063591904571581,263.79370083833345,6
Moving average (7d),965.8260441407944,1176.4113050337462,8.15283354860423,25.325386978729398,6
Simple exponential smoothing,1083.7505626084196,1312.923800612448,9.024649552938294,-52.480940029107025,6
Damped Holt (trend) smoothing,1084.4947816770577,1313.6852575178993,9.030207669839967,-53.20781838498478,6
Autoregression AR(7) OLS,1167.4613112122518,1434.3887937031488,10.069008287804115,929.1412064782029,6
Naive (last value),1351.5268023877777,1617.5219010424344,11.16010847408546,-91.70345865222198,6
