wellbore,first_date,last_date,cum_oil_bbl,cum_gas_mcf,cum_water_bbl,days_on_stream,on_stream_hrs,rows,peak_daily_oil_bbl,uptime_pct_of_calendar_span,water_cut_pct,oil_share_pct
15/9-F-12,2008-02-12,2016-09-17,28804873.9436855,23574055.28559289,42980286.7964297,2838,65204.06928,3056,37121.452250400005,86.495900031837,59.87349802284601,45.62690814137041
15/9-F-14,2008-02-12,2016-09-17,24795898.998755902,20412233.573573694,44791307.8271494,2724,62773.67519,3056,35502.0148697,83.27188155311472,64.36715866353023,39.27669352453273
15/9-F-11,2013-07-08,2016-09-17,7219752.747671,6155723.742185966,6860964.1851087,1122,26006.21614,1165,12986.004624100002,92.77331670947488,48.725957760975064,11.436085298113392
15/9-F-1 C,2014-04-07,2016-04-21,1117757.9209273001,933753.10808342,1303892.6456459,438,9983.53315,746,9748.0104361,55.76146754915102,53.84313755435809,1.7705280738997673
15/9-F-15 D,2014-01-12,2016-09-17,934153.5238736001,794769.717193965,329374.706384,769,17824.83278,978,3227.4273072,75.78585365646259,26.067854955393376,1.4796987866375222
15/9-F-5,2016-04-11,2016-09-17,258892.8566708,231728.907460378,85121.1308958,129,2973.32502,160,2495.796608,77.43033906250001,24.7435086863498,0.4100861754461888
