year,oil_bbl,gas_mcf,water_bbl,water_cut_pct
2008,11097584.4622215,9077240.578087637,147866.7659014,1.3149029140921547
2009,16884315.8971124,13277691.977186896,1459888.4248894001,7.958308789323878
2010,10629165.9580155,8614963.636588007,11872612.5231918,52.7629961920894
2011,5333541.2525740005,4602218.602373498,13778711.1395468,72.09360182595327
2012,3611648.7164973,3185691.1635395116,13268993.4283903,78.60479070939189
2013,3509792.7913193,3093136.0546491668,16204851.3095999,82.19702687325886
2014,4674004.9216769,3947896.5132303257,17083570.0333252,78.51780388511386
2015,5420237.8550786,4535249.521587918,12641422.7924866,69.99036821229794
2016,1971038.1370886,1768176.2868473558,9893030.8742821,83.38649130243992
