target,factor,spearman_rho,p_value,n
loss_pct,avg water cut %,-0.04637949762693027,0.0413552855533132,1935
loss_pct,avg pressure psi,0.028952440266775268,0.20301016174055964,1935
loss_pct,well age (days),-0.03111067925714981,0.17132362485636923,1935
loss_pct,downtime hours in month,0.9795448675562479,0.0,1935
other_loss_pct,avg water cut %,-0.002002108900364574,0.9298661721069268,1935
other_loss_pct,avg pressure psi,0.003144925470900403,0.8900413180187857,1935
other_loss_pct,well age (days),-0.00021616926034451748,0.9924179398527871,1935
other_loss_pct,downtime hours in month,-0.22020571887925067,1.1166179245202072e-22,1935
